"","slide","id","morph","locality","species","tissue_thickness","collagen_layer_nm","iridophores_area_px","iridophores_area_nm2","iridophores_thickness_pix","iridophores_thickness_nm","iridophores_density","melanophores_area_px","melanophores_area_nm2","melanophores_thickness_px","melanophores_thickness_nm","melanophores_density","xanthophores_area_px","xanthophores_area_nm2","xanthophores_thickness_px","xanthophore_thickness_nm","xanthophores_density","xanthtomel","iritomel","xanthtoiri","glands","B1","B2","B3","S1U","S1V","S1B","S1G","S1Y","S1R","S2","S3","S4","S5","S6","S7","S8","S9","S10","H1","H2","H3","H4","H5","total_chrom_area","rel_xanth","rel_melan","rel_irid"
"35","V652/22","ESQ.1","green","ESQ","granulifera",19.19,5.16,3128.33,38.0717761,29.66,0.3609622,105.4730276,1531.635168,19.45176663,245.6861134,2.99,26.69372405,411.6680362,5.010000001,90.38619556,1.1,19.50201507,0.730584276,3.951229413,0.184900496,2,3333.94752,8.314083592,15.32169112,0.213124789,0.238230286,0.170366324,0.337071094,0.31593393,0.286665298,3.587667087,0.395136762,0.144951507,635.3700406,11.05103536,0.706521842,1.329194641,0.336622509,0.192668766,584,618,645,0.656173324,531,5071.6332042,0.0811707037210584,0.30200038258516,0.616828913693782
"36","V653/22","ESQ.2","green","ESQ","granulifera",14.03,3.76,2229.39,27.1316763,38.1,0.463677,58.51417323,1307.313065,16.60287593,185.7025472,2.26,41.23001485,685.2917009,8.34,73.95234182,0.9,54.27193323,1.316320972,1.419213004,0.927500642,2,4841.709569,12.0740887,19.83555806,0.247750008,0.275634828,0.18608993,0.324655509,0.282211789,0.248766038,2.87616866,0.359287841,0.20309159,592.3932593,12.93903689,-0.914715182,1.071636726,0.223316419,0.217640407,582,618,316,0.652515976,519,4221.9947659,0.162314673252305,0.309643459427956,0.528041867319739
"37","V654/22","ESQ.3","green","ESQ","granulifera",20.38,4.76,NA,NA,NA,NA,NA,626.9515201,7.962284305,268.6935086,3.27,9.40766897,936.7296631,11.4,78.88249795,0.96,47.8783153,5.089285715,NA,NA,NA,2331.299809,5.813715234,9.849845637,0.177854218,0.195014238,0.137303542,0.350828944,0.308897804,0.341152863,3.787877978,0.401488444,0.051415648,684.2428493,7.249485833,-0.324764131,1.246962663,0.645475219,0.064113394,588,381,521,0.609373356,519,NA,NA,NA,NA
"38","V655/22","ESQ.4","green","ESQ","granulifera",18.46,4.18,NA,NA,NA,NA,NA,1032.046015,13.10698439,198.0279376,2.41,23.19798814,654.8890715,7.97,87.9211175,1.07,33.15524709,1.429229418,NA,NA,3,3619.836217,9.027022986,15.16113726,0.214714316,0.236467453,0.162209354,0.341974913,0.29283293,0.288300651,3.03188225,0.376886352,0.127621864,742.6937655,10.16056797,0.887138928,1.125572405,0.484314851,0.143647648,581,344,680,0.656171261,519,NA,NA,NA,NA
"39","V656/22","ESQ.5","green","ESQ","granulifera",19.17,3.69,NA,NA,NA,NA,NA,1096.138044,13.92095316,336.8940016,4.1,13.94630894,563.6811832,6.86,92.02958094,1.12,26.25387432,1.882496253,NA,NA,4,3138.817416,7.827474853,13.72228985,0.210534846,0.232489148,0.170324789,0.361406168,0.301181562,0.26516154,3.11623807,0.390049966,0.128640041,630.9533505,9.318810542,0.645273714,1.190525772,0.393331683,0.153149284,579,618,631,0.845000354,519,NA,NA,NA,NA
"40","V657/22","ESQ.6","green","ESQ","granulifera",19.09,5.67,NA,NA,NA,NA,NA,910.4354971,11.56253081,161.8734593,1.97,24.20900988,755.1355793,9.19,107.641742,1.31,30.19588127,1.247299308,NA,NA,2,1891.506478,4.716973762,11.52793453,0.125133149,0.13264482,0.061301709,0.467076615,0.415885997,0.353937578,15.99689715,0.527988193,0.122197558,880.9272194,10.80729887,0.823085043,2.29115094,0.873463878,0.279973049,582,618,672,0.776361459,519,NA,NA,NA,NA
"41","V658/22","ESQ.7","green","ESQ","granulifera",15.51,4.74,336.58,4.0961786,18.01,0.2191817,18.68850639,998.3566146,12.67912901,156.9433032,1.91,33.70082516,289.2358258,3.52,78.88249795,0.96,19.42535903,0.576406036,0.554541508,1.039428118,2,3816.980527,9.518654681,17.69762129,0.220861992,0.244737244,0.168418568,0.352900394,0.312655021,0.265259936,3.267486921,0.393288573,0.215130921,705.5712992,12.28134214,0.629262934,1.290239277,0.351172146,0.277570364,584,618,627,0.760233791,519,1624.1724404,0.178081968764824,0.614686341035392,0.207231690199784
"42","V659/22","ESQ.8","green","ESQ","granulifera",15.14,3.62,1339.46,16.3012282,22.21,0.2702957,60.30886988,1199.671323,15.2358258,176.6639277,2.15,36.85512958,362.3664749,4.41,82.16926869,1,23.93437747,0.649417808,1.636376552,0.396863306,2,1833.126583,4.571387988,9.81211581,0.11306228,0.11976522,0.058774247,0.433533306,0.39074671,0.401714236,16.66384468,0.506399647,0.06990716,891.5396809,9.223289162,-0.608426729,2.017612416,0.892585577,0.141045554,586,356,522,0.676048865,519,2901.4977979,0.124889453702935,0.413466218677912,0.461644327619153
"43","3024","LOM.1","green","LOM","vicentei",7.44347625,3.24863546,2001.666667,24.36028333,18.88589638,0.229841359,105.9873795,10561.54583,128.5340128,58.81648447,0.715796616,179.5677849,2790.625,33.96190625,28.46798,0.346455317,98.02680052,0.545904159,0.590236047,0.924891256,4,4222.16512,10.52909007,16.39035333,0.28398519,0.334284219,0.319426604,0.234748222,0.163622327,0.169967616,2.717183668,0.286184648,0.127508185,656.1284541,10.54580141,0.317492532,0.961439834,-0.740107259,0.127133272,405.6666667,456,528.6666667,-0.935778334,378.6666667,15353.837497,0.181754235743687,0.687876619253241,0.130369145003072
"44","3124","LOM.2","green","LOM","vicentei",6.872853347,3.22604794,2557.833334,31.12883167,18.95102946,0.236232714,138.7329332,8587.754275,104.5129695,55.90342404,0.727781406,157.4953077,3247.589286,39.52316161,35.019875,0.426191879,103.128279,0.654802232,0.880870264,0.743358312,NA,3298.387393,8.225404969,14.41749457,0.22534821,0.275368697,0.349665737,0.250301408,0.171622124,0.183018816,3.604554295,0.332931477,0.130796731,757.6285778,10.71479729,0.012716877,1.297551186,-0.977638386,0.182809942,437.25,440,489.75,-0.280548402,398.25,14393.176895,0.225633945145784,0.596654535523931,0.177711519330285
"45","3224","LOM.3","green","LOM","vicentei",6.68282691,3.245637583,2990.333333,36.39235667,16.35078973,0.198989111,182.8861714,11977.10165,145.7613271,52.7810341,0.642345185,226.9205568,4126.428572,50.21863572,27.37515,0.333155576,150.7362906,0.664268997,0.805948011,0.824208246,3,4668.304818,11.6416579,18.52531465,0.261588226,0.316308492,0.328934443,0.252782604,0.171773146,0.165338338,2.932398608,0.335911195,0.14965711,715.0786512,12.23822936,0.22720591,1.022665551,-1.010513587,0.155481951,442.3333333,416,519.6666667,-1.194021474,380.6666667,19093.863555,0.216112813423737,0.627274915603114,0.156612270973149
